151	52968	101.4667	35.0333	36628	36638	1957	10	1990	12	-316602.3	3744273
152	52974	102.0167	35.5167	24915	24923	1991	1	2000	12	-265694.5	3797244
153	52983	104.15	35.8667	18741	18754	1951	1	2000	12	-75373.3	3833125
154	52984	103.1833	35.5833	19170	19185	1951	1	2000	12	-161674.4	3802256
155	52986	103.8667	35.3667	18866	18878	1951	1	2000	12	-101139	3776880
156	52993	105.0833	35.6833	20122	20132	1955	11	1991	4	7403.9	3812080
157	52996	105	35.3833	24506	24504	1951	1	2000	12	0	3778179
158	53068	111.9667	43.65	9647	9659	1955	10	2000	12	555687.6	4730619
159	53083	114.15	44.6167	11816	11829	1957	12	2000	12	719422.6	4852714
160	53149	110.1333	42.5333	12252	12261	1957	11	2000	12	416091.4	4596334
161	53192	114.95	44.0167	11261	11279	1952	6	2000	12	788850.4	4791835
162	53195	113.7167	43.8333	11114	11139	1955	12	2000	12	693146.5	4762140
163	53231	106.4	41.4	15096	15102	1970	10	2000	12	115327.3	4458724
164	53276	112.9	42.4	11508	11519	1952	5	2000	12	641154.8	4596093
165	53336	108.5167	41.5667	12880	12898	1954	1	2000	12	288977.2	4481822
166	53352	110.4333	41.7	13766	13771	1953	12	2000	12	445518	4503921
167	53362	111.6833	41.5333	14901	14904	1959	1	2000	12	549138.7	4491428
168	53391	114	41.9	14827	14846	1952	12	2000	12	735297.2	4547614
169	53399	114.7	41.15	13933	13942	1989	1	2000	12	800558.1	4468860
170	53420	107.1333	40.9	10567	10579	1954	1	1995	2	176937.9	4403421
171	53446	109.85	40.6667	10672	10691	1951	1	2000	12	403419.7	4385052
172	53463	111.6833	40.8167	10630	10650	1951	2	2000	12	554574.9	4410795
173	53478	112.45	40	13458	13472	1957	1	2000	12	624992.9	4323397
174	53480	113.0667	41.0333	14193	14215	1954	1	2000	12	667154.8	4443676
175	53487	113.3333	40.1	10672	10690	1955	1	2000	12	697983	4340538
176	53502	105.75	39.7833	10318	10330	1955	1	2000	12	63162.1	4275702
177	53513	107.4167	40.75	10393	10408	1956	11	2000	12	200851	4387041
178	53519	106.7667	39.2167	10910	10922	1957	1	2000	12	149917.3	4212792
179	53529	107.9833	39.1	13803	13813	1954	10	2000	12	253525.8	4202082
180	53543	109.9833	39.8333	14604	14590	1956	12	2000	12	419218.9	4291634
181	53545	109.7333	39.5667	13293	13305	1958	11	1995	2	399639.1	4260527
